100			
0	2	18	54
1	0		
2	0		
3	0		
4	1	18	
5	1	18	
6	1	51	
7	1	75	
8	0		
9	2	97	27
10	0		
11	1	80	
12	1	32
13	0		
14	2	96	79
15	1	62	
16	0		
17	0		
18	2	27	51
19	2	73	89
20	2	78	54
21	2	58	55
22	2	9	7
23	1	4	
24	1	55	
25	1	44
26	0		
27	1	62	
28	0		
29	0		
30	0		
31	1	89	
32	0		
33	1	2	
34	2	10	54
35	2	62	67
36	1	78	
37	2	52	36
38	1	88	
39	0		
40	2	7	52
41	0		
42	2	75	70
43	0		
44	2	94	43
45	0		
46	2	17	19
47	0		
48	2	56	81
49	1	95
50	2	8	45
51	2	65	45
52	1	31	
53	1	22	
54	1	14	
55	2	60	35
56	0		
57	0		
58	2	13	74
59	1	1	
60	0		
61	2	78	91
62	0		
63	1	16	
64	0		
65	1	54	
66	2	5	8
67	0		
68	1	90	
69	0		
70	2	63	83
71	0		
72	0		
73	2	96	76
74	0		
75	2	0	89
76	2	50	88
77	0		
78	1	4	
79	0		
80	2	13	25
81	2	94	65
82	1	89	
83	2	87	72
84	1	25	
85	2	80	54
86	1	89	
87	0		
88	0		
89	2	63	38
90	0		
91	2	49	86
92	0		
93	1	66	
94	1	39	
95	1	50	
96	1	67	
97	2	15	18
98	0		
99	1	44	
