100			
0	2	49	10
1	0		
2	2	95	37
3	0		
4	1	85	
5	2	14	23
6	2	10	68
7	2	84	29
8	1	88	
9	0		
10	0		
11	1	92	
12	0		
13	2	80	49
14	0		
15	1	50	
16	1	80	
17	0		
18	1	23	
19	2	60	26
20	0		
21	0		
22	0		
23	2	47	80
24	0		
25	2	93	84
26	0		
27	0		
28	2	37	15
29	2	17	87
30	0		
31	0		
32	1	62	
33	2	83	32
34	2	54	11
35	2	75	65
36	0		
37	1	38	
38	1	31	
39	2	59	45
40	0		
41	2	65	43
42	2	33	69
43	1	86	
44	1	39	
45	2	16	53
46	2	86	59
47	2	70	15
48	0		
49	2	37	48
50	1	14	
51	2	36	59
52	0		
53	2	33	61
54	1	91	
55	1	2	
56	2	48	93
57	1	67	
58	2	14	41
59	2	49	73
60	0		
61	1	59	
62	0		
63	0		
64	0		
65	0		
66	2	72	46
67	0		
68	0		
69	0		
70	2	61	85
71	1	32	
72	0		
73	2	3	52
74	2	93	90
75	0		
76	2	21	57
77	2	90	68
78	2	35	26
79	1	39	
80	2	85	43
81	1	68	
82	2	10	94
83	1	0	
84	1	19	
85	1	57	
86	1	34	
87	1	92	
88	2	68	24
89	1	61	
90	0		
91	1	20	
92	0		
93	1	76	
94	2	20	61
95	2	91	33
96	2	62	90
97	2	96	24
98	1	79	
99	2	36	95
